source_table,category_or_disease,drug_name,condition_detail,rationale,recommendation,quality,strength
Table 2 (PIM),Central nervous system,Eszopiclone,Nonbenzodiazepine benzodiazepine receptor agonist hypnotics,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (�Z-drugs�) have adverse events similar to those of benzodiazepines in older adults (e.g., delirium, falls, fractures, increased emergency room visits/ hospitalizations, motor vehicle crashes); minimal improvement in sleep latency and duration.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Zaleplon,Nonbenzodiazepine benzodiazepine receptor agonist hypnotics,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (�Z-drugs�) have adverse events similar to those of benzodiazepines in older adults (e.g., delirium, falls, fractures, increased emergency room visits/ hospitalizations, motor vehicle crashes); minimal improvement in sleep latency and duration.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Zolpidem,Nonbenzodiazepine benzodiazepine receptor agonist hypnotics,"Nonbenzodiazepine benzodiazepine receptor agonist hypnotics (�Z-drugs�) have adverse events similar to those of benzodiazepines in older adults (e.g., delirium, falls, fractures, increased emergency room visits/ hospitalizations, motor vehicle crashes); minimal improvement in sleep latency and duration.",Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Meprobamate,N/A,High rate of physical dependence; very sedating.,Avoid,Moderate,Strong
Table 2 (PIM),Central nervous system,Ergoloid mesylates,N/A,Lack of efficacy.,Avoid,High,Strong
Table 2 (PIM),Endocrine,Methyltestosterone,Androgens,Potential for cardiac problems; potential risks in men with prostate cancer.,Avoid unless indicated for confirmed hypogonadism with clinical symptoms.,Moderate,Weak
Table 2 (PIM),Endocrine,Testosterone,Androgens,Potential for cardiac problems; potential risks in men with prostate cancer.,Avoid unless indicated for confirmed hypogonadism with clinical symptoms.,Moderate,Weak
Table 2 (PIM),Endocrine,Insulin,sliding scale (insulin regimens containing only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin),Higher risk of hypoglycemia without improvement in hyperglycemia management regardless of care setting. Avoid insulin regimens that include only short- or rapid-acting insulin dosed according to current blood glucose levels without concurrent use of basal or long-acting insulin. This recommendation does not apply to regimens that contain basal insulin or long-acting insulin.,Avoid,Moderate,Strong
Table 2 (PIM),Endocrine,Gliclazide,"Sulfonylureas (all, including short- and longer-acting)","Sulfonylureas have a higher risk of cardiovascular events, all-cause mortality, and hypoglycemia than alternative agents. Sulfonylureas may increase the risk of cardiovascular death and ischemic stroke.
Among sulfonylureas, long-acting agents (e.g., glyburide, glimepiride) confer a higher risk of prolonged hypoglycemia than short-acting agents (e.g., glipizide).","Avoid sulfonylureas as first- or second-line monotherapy or add-on therapy unless there are substantial barriers to the use of safer and more effective agents.
If a sulfonylurea is used, choose short-acting agents (e.g., glipizide) over long- acting agents (e.g., glyburide, glimepiride).","Hypoglycemia: High
CV events and all-cause mortality: Moderate
CV death and ischemic stroke: Low",Strong
Table 2 (PIM),Endocrine,Glimepiride,"Sulfonylureas (all, including short- and longer-acting)","Sulfonylureas have a higher risk of cardiovascular events, all-cause mortality, and hypoglycemia than alternative agents. Sulfonylureas may increase the risk of cardiovascular death and ischemic stroke.
Among sulfonylureas, long-acting agents (e.g., glyburide, glimepiride) confer a higher risk of prolonged hypoglycemia than short-acting agents (e.g., glipizide).","Avoid sulfonylureas as first- or second-line monotherapy or add-on therapy unless there are substantial barriers to the use of safer and more effective agents.
If a sulfonylurea is used, choose short-acting agents (e.g., glipizide) over long- acting agents (e.g., glyburide, glimepiride).","Hypoglycemia: High
CV events and all-cause mortality: Moderate
CV death and ischemic stroke: Low",Strong
Table 2 (PIM),Endocrine,Glipizide,"Sulfonylureas (all, including short- and longer-acting)","Sulfonylureas have a higher risk of cardiovascular events, all-cause mortality, and hypoglycemia than alternative agents. Sulfonylureas may increase the risk of cardiovascular death and ischemic stroke.
Among sulfonylureas, long-acting agents (e.g., glyburide, glimepiride) confer a higher risk of prolonged hypoglycemia than short-acting agents (e.g., glipizide).","Avoid sulfonylureas as first- or second-line monotherapy or add-on therapy unless there are substantial barriers to the use of safer and more effective agents.
If a sulfonylurea is used, choose short-acting agents (e.g., glipizide) over long- acting agents (e.g., glyburide, glimepiride).","Hypoglycemia: High
CV events and all-cause mortality: Moderate
CV death and ischemic stroke: Low",Strong
Table 2 (PIM),Endocrine,Glyburide,"Sulfonylureas (all, including short- and longer-acting)","Sulfonylureas have a higher risk of cardiovascular events, all-cause mortality, and hypoglycemia than alternative agents. Sulfonylureas may increase the risk of cardiovascular death and ischemic stroke.
Among sulfonylureas, long-acting agents (e.g., glyburide, glimepiride) confer a higher risk of prolonged hypoglycemia than short-acting agents (e.g., glipizide).","Avoid sulfonylureas as first- or second-line monotherapy or add-on therapy unless there are substantial barriers to the use of safer and more effective agents.
If a sulfonylurea is used, choose short-acting agents (e.g., glipizide) over long- acting agents (e.g., glyburide, glimepiride).","Hypoglycemia: High
CV events and all-cause mortality: Moderate
CV death and ischemic stroke: Low",Strong
Table 2 (PIM),Endocrine,Glibenclamide,"Sulfonylureas (all, including short- and longer-acting)","Sulfonylureas have a higher risk of cardiovascular events, all-cause mortality, and hypoglycemia than alternative agents. Sulfonylureas may increase the risk of cardiovascular death and ischemic stroke.
Among sulfonylureas, long-acting agents (e.g., glyburide, glimepiride) confer a higher risk of prolonged hypoglycemia than short-acting agents (e.g., glipizide).","Avoid sulfonylureas as first- or second-line monotherapy or add-on therapy unless there are substantial barriers to the use of safer and more effective agents.
If a sulfonylurea is used, choose short-acting agents (e.g., glipizide) over long- acting agents (e.g., glyburide, glimepiride).","Hypoglycemia: High
CV events and all-cause mortality: Moderate
CV death and ischemic stroke: Low",Strong
Table 2 (PIM),Endocrine,Desiccated thyroid,N/A,Concerns about cardiac effects; safer alternatives available.,Avoid,Low,Strong
Table 2 (PIM),Endocrine,Megestrol,N/A,Minimal effect on weight; increases the risk of thrombotic events and possibly death in older adults.,Avoid,Moderate,Strong
Table 2 (PIM),Endocrine,Growth hormone,N/A,"Impact on body composition is small and associated with edema, arthralgia, carpal tunnel syndrome, gynecomastia, and impaired fasting glucose.","Avoid, except for patients rigorously diagnosed by evidence-based criteria with growth hormone deficiency due to an established etiology.",High,Strong
Table 2 (PIM),Gastrointestinal,Dexlansoprazole,Proton-pump inhibitors,"Risk of�C. difficile�infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett�s esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High
Pneumonia and GI malignancies: Moderate",Strong
Table 2 (PIM),Gastrointestinal,Esomeprazole,Proton-pump inhibitors,"Risk of�C. difficile�infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett�s esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High
Pneumonia and GI malignancies: Moderate",Strong
Table 2 (PIM),Gastrointestinal,Lansoprazole,Proton-pump inhibitors,"Risk of�C. difficile�infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett�s esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High
Pneumonia and GI malignancies: Moderate",Strong
Table 2 (PIM),Gastrointestinal,Omeprazole,Proton-pump inhibitors,"Risk of�C. difficile�infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett�s esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High
Pneumonia and GI malignancies: Moderate",Strong
Table 2 (PIM),Gastrointestinal,Pantoprazole,Proton-pump inhibitors,"Risk of�C. difficile�infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett�s esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High
Pneumonia and GI malignancies: Moderate",Strong
Table 2 (PIM),Gastrointestinal,Rabeprazole,Proton-pump inhibitors,"Risk of�C. difficile�infection, pneumonia, GI malignancies, bone loss, and fractures.","Avoid scheduled use for >8 weeks unless for high-risk patients (e.g., oral corticosteroids or chronic NSAID use), erosive esophagitis, Barrett�s esophagitis, pathologic hypersecretory condition, or demonstrated need for maintenance treatment (e.g., because of failure of drug discontinuation trial or H2-receptor antagonists).","C. difficile, bone loss, and fractures: High
Pneumonia and GI malignancies: Moderate",Strong
Table 2 (PIM),Gastrointestinal,Metoclopramide,N/A,"Can cause extrapyramidal effects, including tardive dyskinesia; the risk may be greater in frail older adults and with prolonged exposure.","Avoid, unless for gastroparesis with a duration of use not to exceed 12 weeks except in rare cases.",Moderate,Strong
Table 2 (PIM),Gastrointestinal,Hyoscyamine,GI antispasmodics with strong anticholinergic activity Atropine (excludes ophthalmic) Clidinium-chlordiazepoxide Dicyclomine,"Highly anticholinergic, uncertain effectiveness.",Avoid,Moderate,Strong
Table 2 (PIM),Gastrointestinal,Scopolamine,GI antispasmodics with strong anticholinergic activity Atropine (excludes ophthalmic) Clidinium-chlordiazepoxide Dicyclomine,"Highly anticholinergic, uncertain effectiveness.",Avoid,Moderate,Strong
Table 2 (PIM),Genitourinary,Desmopressin,N/A,High risk of hyponatremia; safer alternative treatments for nocturia (including non- pharmacologic).,Avoid for treatment of nocturia or nocturnal polyuria.,Moderate,Strong
Table 2 (PIM),Pain medications,Aspirin >325 mg/day,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Diclofenac,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Diflunisal,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Etodolac,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Flurbiprofen,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Ibuprofen,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Indomethacin,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Ketorolac,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Meloxicam,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Nabumetone,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Naproxen,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Oxaprozin,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Piroxicam,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Sulindac,"Non-COX-2-selective NSAIDs, oral:","Increased risk of GI bleeding or peptic ulcer disease in high-risk groups, including those >75 years old or taking oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents; use of proton-pump inhibitor or misoprostol reduces but does not eliminate risk. Upper GI ulcers, gross bleeding, or perforation caused by NSAIDs occur in ~1% of patients treated for 3�6 months and in ~2%?4% of patients treated for 1 year; these trends continue with longer duration of use. Also can increase blood pressure and induce kidney injury. Risks are dose-related.","Avoid chronic use unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).
Avoid short-term scheduled use in combination with oral or parenteral corticosteroids, anticoagulants, or antiplatelet agents unless other alternatives are not effective and the patient can take a gastroprotective agent (proton-pump inhibitor or misoprostol).",Moderate,Strong
Table 2 (PIM),Pain medications,Indomethacin,N/A,"Increased risk of GI bleeding/peptic ulcer disease and acute kidney injury in older adults. Of all the NSAIDs, indomethacin has the most adverse effects, including a higher risk of adverse CNS effects.",Avoid,Moderate,Strong
Table 2 (PIM),Pain medications,Ketorolac,N/A,"Increased risk of GI bleeding/peptic ulcer disease and acute kidney injury in older adults. Of all the NSAIDs, indomethacin has the most adverse effects, including a higher risk of adverse CNS effects.",Avoid,Moderate,Strong
Table 2 (PIM),Pain medications,Meperidine,N/A,"Oral analgesic not effective in dosages commonly used; may have a higher risk of neurotoxicity, including delirium, than other opioids; safer alternatives available.",Avoid,Moderate,Strong
Table 2 (PIM),Pain medications,Carisoprodol,Skeletal muscle relaxants,"Muscle relaxants typically used to treat musculoskeletal complaints are poorly tolerated by older adults due to anticholinergic adverse effects, sedation, and increased risk of fractures; effectiveness at dosages tolerated by older adults is questionable.
This criterion does not apply to skeletal muscle relaxants typically used for the management of spasticity (i.e., baclofen and tizanidine) although these drugs can also cause substantial adverse effects.",Avoid,Moderate,Strong
Table 2 (PIM),Pain medications,Chlorzoxazone,Skeletal muscle relaxants,"Muscle relaxants typically used to treat musculoskeletal complaints are poorly tolerated by older adults due to anticholinergic adverse effects, sedation, and increased risk of fractures; effectiveness at dosages tolerated by older adults is questionable.
This criterion does not apply to skeletal muscle relaxants typically used for the management of spasticity (i.e., baclofen and tizanidine) although these drugs can also cause substantial adverse effects.",Avoid,Moderate,Strong
Table 2 (PIM),Pain medications,Cyclobenzaprine,Skeletal muscle relaxants,"Muscle relaxants typically used to treat musculoskeletal complaints are poorly tolerated by older adults due to anticholinergic adverse effects, sedation, and increased risk of fractures; effectiveness at dosages tolerated by older adults is questionable.
This criterion does not apply to skeletal muscle relaxants typically used for the management of spasticity (i.e., baclofen and tizanidine) although these drugs can also cause substantial adverse effects.",Avoid,Moderate,Strong
Table 2 (PIM),Pain medications,Metaxalone,Skeletal muscle relaxants,"Muscle relaxants typically used to treat musculoskeletal complaints are poorly tolerated by older adults due to anticholinergic adverse effects, sedation, and increased risk of fractures; effectiveness at dosages tolerated by older adults is questionable.
This criterion does not apply to skeletal muscle relaxants typically used for the management of spasticity (i.e., baclofen and tizanidine) although these drugs can also cause substantial adverse effects.",Avoid,Moderate,Strong
Table 2 (PIM),Pain medications,Methocarbamol,Skeletal muscle relaxants,"Muscle relaxants typically used to treat musculoskeletal complaints are poorly tolerated by older adults due to anticholinergic adverse effects, sedation, and increased risk of fractures; effectiveness at dosages tolerated by older adults is questionable.
This criterion does not apply to skeletal muscle relaxants typically used for the management of spasticity (i.e., baclofen and tizanidine) although these drugs can also cause substantial adverse effects.",Avoid,Moderate,Strong
Table 2 (PIM),Pain medications,Orphenadrine,Skeletal muscle relaxants,"Muscle relaxants typically used to treat musculoskeletal complaints are poorly tolerated by older adults due to anticholinergic adverse effects, sedation, and increased risk of fractures; effectiveness at dosages tolerated by older adults is questionable.
This criterion does not apply to skeletal muscle relaxants typically used for the management of spasticity (i.e., baclofen and tizanidine) although these drugs can also cause substantial adverse effects.",Avoid,Moderate,Strong
Table 3 (Disease),Cardiovascular,Cilostazol,Heart failure,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, non-dihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone); concerns about QT prolongation (dextromethorphan-quinidine).
Note: This is not a comprehensive list of medications to avoid in patients with heart failure.","Avoid:
Cilostazol
Dextromethorphan-quinidine
-----------------
Avoid in heart failure with reduced ejection fraction:
Nondihydropyridine calcium channel blockers (CCBs) Diltiazem
Verapamil
---------------
Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure:
Dronedarone
NSAIDs and COX-2 inhibitors
Thiazolidinediones
Pioglitazone","Cilostazol, dextromethorphanquinidine, COX-2 inhibitors: Low
Non-dihydropyridine CCBs, NSAIDs: Moderate
Dronedarone, thiazolidenediones: High",Strong
Table 3 (Disease),Cardiovascular,Dextromethorphan-quinidine,Heart failure,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, non-dihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone); concerns about QT prolongation (dextromethorphan-quinidine).
Note: This is not a comprehensive list of medications to avoid in patients with heart failure.","Avoid:
Cilostazol
Dextromethorphan-quinidine
-----------------
Avoid in heart failure with reduced ejection fraction:
Nondihydropyridine calcium channel blockers (CCBs) Diltiazem
Verapamil
---------------
Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure:
Dronedarone
NSAIDs and COX-2 inhibitors
Thiazolidinediones
Pioglitazone","Cilostazol, dextromethorphanquinidine, COX-2 inhibitors: Low
Non-dihydropyridine CCBs, NSAIDs: Moderate
Dronedarone, thiazolidenediones: High",Strong
Table 3 (Disease),Cardiovascular,Nondihydropyridine calcium,Heart failure,"Potential to promote fluid retention and/or exacerbate heart failure (NSAIDs and COX-2 inhibitors, non-dihydropyridine CCBs, thiazolidinediones); potential to increase mortality in older adults with heart failure (cilostazol and dronedarone); concerns about QT prolongation (dextromethorphan-quinidine).
Note: This is not a comprehensive list of medications to avoid in patients with heart failure.","Avoid:
Cilostazol
Dextromethorphan-quinidine
-----------------
Avoid in heart failure with reduced ejection fraction:
Nondihydropyridine calcium channel blockers (CCBs) Diltiazem
Verapamil
---------------
Use with caution in patients with heart failure who are asymptomatic; avoid in patients with symptomatic heart failure:
Dronedarone
NSAIDs and COX-2 inhibitors
Thiazolidinediones
Pioglitazone","Cilostazol, dextromethorphanquinidine, COX-2 inhibitors: Low
Non-dihydropyridine CCBs, NSAIDs: Moderate
Dronedarone, thiazolidenediones: High",Strong
