Type,Section,Rule_ID,Drug_Medication,Condition_Disease,Rationale_Reason,Full_Text
STOPP,Section F: Gastrointestinal System,3,"Drugs likely to cause constipation (e.g. systemic antimuscarinics, oral iron, opioids, verapamil, aluminium antacids)",with chronic constipation where non-constipating alternatives are available,risk of exacerbation of constipation,"Drugs likely to cause constipation (e.g. systemic antimuscarinics, oral iron, opioids, verapamil, aluminium antacids) with chronic constipation where non-constipating alternatives are available (risk of exacerbation of constipation)."
STOPP,Section F: Gastrointestinal System,4,Oral elemental iron doses greater than 200 mg daily,General/Unspecified,"e.g. ferrous fumarate> 600 mg/day, ferrous sulphate > 600 mg/day, ferrous gluconate> 1800 mg/day; no evidence of enhanced iron absorption above these doses","Oral elemental iron doses greater than 200 mg daily (e.g. ferrous fumarate> 600 mg/day, ferrous sulphate > 600 mg/day, ferrous gluconate> 1800 mg/day; no evidence of enhanced iron absorption above these doses)."
STOPP,Section F: Gastrointestinal System,5,Corticosteroids,with a history of peptic ulcer disease or erosive oesophagitis,risk of relapse unless proton pump inhibitor is co-prescribed,Corticosteroids with a history of peptic ulcer disease or erosive oesophagitis (risk of relapse unless proton pump inhibitor is co-prescribed).
STOPP,Section F: Gastrointestinal System,6,Antiplatelet or anticoagulant drugs,"with a history of Gastric Antral Vascular Ectasia (GAVE, “watermelon stomach”)",risk of major gastrointestinal bleeding,"Antiplatelet or anticoagulant drugs with a history of Gastric Antral Vascular Ectasia (GAVE, “watermelon stomach”) (risk of major gastrointestinal bleeding)."
STOPP,Section F: Gastrointestinal System,7,Antipsychotics,with dysphagia,increased risk of aspiration pneumonia,Antipsychotics with dysphagia (increased risk of aspiration pneumonia).
STOPP,Section F: Gastrointestinal System,8,Megestrol acetate to increase appetite,General/Unspecified,increased risk of thrombosis and death with unproven efficacy,Megestrol acetate to increase appetite (increased risk of thrombosis and death with unproven efficacy)
STOPP,Section G: Respiratory System,1,Theophylline as monotherapy,for COPD,"safer, more effective alternative; risk of adverse effects due to narrow therapeutic index","Theophylline as monotherapy for COPD (safer, more effective alternative; risk of adverse effects due to narrow therapeutic index)."
STOPP,Section G: Respiratory System,2,Systemic corticosteroids instead of inhaled corticosteroids,for maintenance therapy in moderate-severe COPD,unnecessary exposure to long-term side-effects of systemic corticosteroids and effective inhaled therapies are available,Systemic corticosteroids instead of inhaled corticosteroids for maintenance therapy in moderate-severe COPD (unnecessary exposure to long-term side-effects of systemic corticosteroids and effective inhaled therapies are available).
STOPP,Section G: Respiratory System,3,"Long-acting muscarinic antagonists (e.g., tiotropium, aclidinium, umeclidinium, glycopyrronium)",with a history of narrow angle glaucoma (may exacerbate glaucoma) or bladder outflow obstruction,may cause urinary retention,"Long-acting muscarinic antagonists (e.g., tiotropium, aclidinium, umeclidinium, glycopyrronium) with a history of narrow angle glaucoma (may exacerbate glaucoma) or bladder outflow obstruction (may cause urinary retention)."
STOPP,Section G: Respiratory System,4,Benzodiazepines,with acute or chronic respiratory failure i.e. pO2 < 8.0 kPa ± pCO2 > 6.5 kPa,risk of exacerbation of respiratory failure,Benzodiazepines with acute or chronic respiratory failure i.e. pO2 < 8.0 kPa ± pCO2 > 6.5 kPa (risk of exacerbation of respiratory failure).
STOPP,Section H: Musculoskeletal System,1,Non-steroidal anti-inflammatory drugs (NSAIDs) other than COX-2 selective agents,"with history of peptic ulcer disease or gastrointestinal bleeding, unless with concurrent PPI or H2 antagonist",risk of peptic ulcer relapse,"Non-steroidal anti-inflammatory drugs (NSAIDs) other than COX-2 selective agents with history of peptic ulcer disease or gastrointestinal bleeding, unless with concurrent PPI or H2 antagonist (risk of peptic ulcer relapse)."
STOPP,Section H: Musculoskeletal System,2,NSAID’s,"with severe hypertension i.e., systolic blood pressure consistently above 170 mmHg and/or diastolic blood pressure consistently above 100 mmHg",risk of exacerbation of hypertension,"NSAID’s with severe hypertension i.e., systolic blood pressure consistently above 170 mmHg and/or diastolic blood pressure consistently above 100 mmHg (risk of exacerbation of hypertension). 7"
STOPP,Section H: Musculoskeletal System,3,Long-term use of NSAID (>3 months),for symptom relief of osteoarthritis pain where paracetamol has not been tried,simple analgesics preferable and usually as effective for pain relief and safer,Long-term use of NSAID (>3 months) for symptom relief of osteoarthritis pain where paracetamol has not been tried (simple analgesics preferable and usually as effective for pain relief and safer).
STOPP,Section H: Musculoskeletal System,4,Long-term corticosteroids (>3 months) as monotherapy,for rheumatoid arthritis,risk of systemic corticosteroid side-effects,Long-term corticosteroids (>3 months) as monotherapy for rheumatoid arthritis (risk of systemic corticosteroid side-effects).
STOPP,Section H: Musculoskeletal System,5,Corticosteroids (other than periodic intra-articular injections,for mono-articular pain) for osteoarthritis,risk of systemic corticosteroid side-effects,Corticosteroids (other than periodic intra-articular injections for mono-articular pain) for osteoarthritis (risk of systemic corticosteroid side-effects).
STOPP,Section H: Musculoskeletal System,6,Long-term NSAID or colchicine (>3 months),"for chronic treatment of gout where there is no contraindication to a xanthine-oxidase inhibitor (e.g., allopurinol, febuxostat)",xanthine- oxidase inhibitors are first choice prophylactic drugs in gout,"Long-term NSAID or colchicine (>3 months) for chronic treatment of gout where there is no contraindication to a xanthine-oxidase inhibitor (e.g., allopurinol, febuxostat) (xanthine- oxidase inhibitors are first choice prophylactic drugs in gout)."
STOPP,Section H: Musculoskeletal System,7,NSAID,with concurrent corticosteroids for treatment of arthritis/rheumatism of any kind,increased risk of peptic ulcer disease,NSAID with concurrent corticosteroids for treatment of arthritis/rheumatism of any kind (increased risk of peptic ulcer disease).
STOPP,Section H: Musculoskeletal System,8,Oral bisphosphonates,"in patients with a current or recent history of upper gastrointestinal disease i.e. dysphagia, oesophagitis, gastritis, duodenitis, or peptic ulcer disease, or upper gastrointestinal bleeding","risk of relapse/exacerbation of oesophagitis, oesophageal ulcer, oesophageal stricture","Oral bisphosphonates in patients with a current or recent history of upper gastrointestinal disease i.e. dysphagia, oesophagitis, gastritis, duodenitis, or peptic ulcer disease, or upper gastrointestinal bleeding (risk of relapse/exacerbation of oesophagitis, oesophageal ulcer, oesophageal stricture)."
STOPP,Section H: Musculoskeletal System,9,Long-term opioids,for osteoarthritis,"lack of evidence of efficacy, increased risk of serious side-effects","Long-term opioids for osteoarthritis (lack of evidence of efficacy, increased risk of serious side-effects)."
STOPP,Section I: Urogenital System,1,"Systemic antimuscarinic drugs (e.g., oxybutynin, tolterodine, trospium)",with dementia or chronic cognitive impairment,"risk of increased confusion, agitation","Systemic antimuscarinic drugs (e.g., oxybutynin, tolterodine, trospium) with dementia or chronic cognitive impairment (risk of increased confusion, agitation)."
STOPP,Section I: Urogenital System,2,"Systemic antimuscarinic drugs (e.g., oxybutynin, tolterodine, trospium)",with narrow-angle glaucoma,risk of acute exacerbation of glaucoma,"Systemic antimuscarinic drugs (e.g., oxybutynin, tolterodine, trospium) with narrow-angle glaucoma (risk of acute exacerbation of glaucoma)."
STOPP,Section I: Urogenital System,3,"Systemic antimuscarinic (e.g., oxybutynin, tolterodine, trospium) drugs",for lower urinary tract symptoms with benign prostatic hyperplasia (BPH) and high post-void residual volume i.e. > 200 ml,uncertain efficacy and increased risk of urinary retention in older men,"Systemic antimuscarinic (e.g., oxybutynin, tolterodine, trospium) drugs for lower urinary tract symptoms with benign prostatic hyperplasia (BPH) and high post-void residual volume i.e. > 200 ml (uncertain efficacy and increased risk of urinary retention in older men)."
STOPP,Section I: Urogenital System,4,"Systemic antimuscarinic drugs (e.g., oxybutynin, tolterodine, trospium)",with constipation,risk of exacerbation of constipation,"Systemic antimuscarinic drugs (e.g., oxybutynin, tolterodine, trospium) with constipation (risk of exacerbation of constipation)."
STOPP,Section I: Urogenital System,5,"Alpha-1 receptor antagonists other than silodosin (e.g., alfuzosin, doxazosin, indoramin, tamsulosin, terazosin)",with symptomatic orthostatic hypotension or history of syncope,risk of precipitating recurrent syncope,"Alpha-1 receptor antagonists other than silodosin (e.g., alfuzosin, doxazosin, indoramin, tamsulosin, terazosin) with symptomatic orthostatic hypotension or history of syncope (risk of precipitating recurrent syncope)."
STOPP,Section I: Urogenital System,6,Mirabegron,in labile or severe hypertension,risk of exacerbation of hypertension,Mirabegron in labile or severe hypertension (risk of exacerbation of hypertension).
STOPP,Section I: Urogenital System,7,Duloxetine,with urinary urgency or urge incontinence,duloxetine is indicated in stress incontinence but not in urinary urgency or urge incontinence,Duloxetine with urinary urgency or urge incontinence (duloxetine is indicated in stress incontinence but not in urinary urgency or urge incontinence).
STOPP,Section I: Urogenital System,8,Antibiotic use,in asymptomatic bacteriuria,no indication for treatment,Antibiotic use in asymptomatic bacteriuria (no indication for treatment). 8 Section J. Endocrine System
STOPP,Section I: Urogenital System,1,Sulphonylureas,"with a long half-life (e.g., glibenclamide, chlorpropamide, glimepiride) with type 2 diabetes mellitus",risk of prolonged hypoglycaemia,"Sulphonylureas with a long half-life (e.g., glibenclamide, chlorpropamide, glimepiride) with type 2 diabetes mellitus (risk of prolonged hypoglycaemia)."
STOPP,Section I: Urogenital System,2,"Thiazolidenediones (e.g., rosiglitazone, pioglitazone)",with heart failure,risk of exacerbation of heart failure,"Thiazolidenediones (e.g., rosiglitazone, pioglitazone) with heart failure (risk of exacerbation of heart failure)."
STOPP,Section I: Urogenital System,3,Non-selective beta-blockers,in diabetes mellitus with frequent hypoglycaemic episodes,risk of suppressing hypoglycaemic symptoms,Non-selective beta-blockers in diabetes mellitus with frequent hypoglycaemic episodes (risk of suppressing hypoglycaemic symptoms).
STOPP,Section I: Urogenital System,4,"Sodium glucose co-transporter (SGLT2) inhibitors (e.g., canagliflozin, dapagliflozin, empagliflozin, ertugliflozin)",with symptomatic hypotension,risk of exacerbation of hypotension,"Sodium glucose co-transporter (SGLT2) inhibitors (e.g., canagliflozin, dapagliflozin, empagliflozin, ertugliflozin) with symptomatic hypotension (risk of exacerbation of hypotension)."
STOPP,Section I: Urogenital System,5,Systemic oestrogens,with a history of breast cancer,increased risk of recurrence,Systemic oestrogens with a history of breast cancer (increased risk of recurrence).
STOPP,Section I: Urogenital System,6,Systemic oestrogens,with a history of venous thromboembolism,increased risk of recurrence,Systemic oestrogens with a history of venous thromboembolism (increased risk of recurrence).
STOPP,Section I: Urogenital System,7,Menopausal hormone therapy (oestrogen plus progestin),"with a history of stenotic coronary, cerebral or peripheral arterial disease",increased risk of acute arterial thrombosis,"Menopausal hormone therapy (oestrogen plus progestin) with a history of stenotic coronary, cerebral or peripheral arterial disease (increased risk of acute arterial thrombosis)."
STOPP,Section I: Urogenital System,8,Systemic oestrogens without progestogens,in patients with intact uterus,risk of endometrial cancer,Systemic oestrogens without progestogens in patients with intact uterus (risk of endometrial cancer).
STOPP,Section I: Urogenital System,9,Levothyroxine,"in subclinical hypothyroidism i.e., normal free T4, elevated TSH but < 10 mU/L","no evidence of benefit, risk of iatrogenic thyrotoxicosis","Levothyroxine in subclinical hypothyroidism i.e., normal free T4, elevated TSH but < 10 mU/L (no evidence of benefit, risk of iatrogenic thyrotoxicosis)."
STOPP,Section I: Urogenital System,10,"Vasopressin analogues (e.g., desmopressin, vasopressin)",for urinary incontinence or urinary frequency,risk of symptomatic hyponatraemia,"Vasopressin analogues (e.g., desmopressin, vasopressin) for urinary incontinence or urinary frequency (risk of symptomatic hyponatraemia)."
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,1,Benzodiazepines,in patients with recurrent falls,"may cause reduced sensorium, impair balance","Benzodiazepines in patients with recurrent falls (may cause reduced sensorium, impair balance)."
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,2,Antipsychotic drugs,in patients with recurrent falls,may cause Parkinsonism,Antipsychotic drugs in patients with recurrent falls (may cause Parkinsonism).
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,3,Vasodilator drugs,"in patients with recurrent falls with persistent postural hypotension i.e., systolic BP drop ≥ 20 mmHg and/or diastolic BP drop ≥ 10 mmHg","risk of syncope, falls","Vasodilator drugs in patients with recurrent falls with persistent postural hypotension i.e., systolic BP drop ≥ 20 mmHg and/or diastolic BP drop ≥ 10 mmHg (risk of syncope, falls)."
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,4,"Hypnotic Z-drugs i.e., zopiclone, zolpidem, zaleplon",in patients with recurrent falls,"may cause protracted daytime sedation, ataxia","Hypnotic Z-drugs i.e., zopiclone, zolpidem, zaleplon in patients with recurrent falls (may cause protracted daytime sedation, ataxia)."
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,5,Anti-epileptic drugs,in patients with recurrent falls,"may impair sensorium, may adversely affect cerebellar function","Anti-epileptic drugs in patients with recurrent falls (may impair sensorium, may adversely affect cerebellar function)."
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,6,First generation antihistamines,in patients with recurrent falls,may impair sensorium,First generation antihistamines in patients with recurrent falls (may impair sensorium). 9
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,7,Opioids,in patients with recurrent falls,may impair sensorium,Opioids in patients with recurrent falls (may impair sensorium).
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,8,Antidepressants,in patients with recurrent falls,may impair sensorium,Antidepressants in patients with recurrent falls (may impair sensorium).
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,9,Alpha blockers as antihypertensives,in patients with recurrent falls,may cause orthostatic hypotension,Alpha blockers as antihypertensives in patients with recurrent falls (may cause orthostatic hypotension).
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,10,Alpha blockers,"for prostatic bladder outflow symptoms, other than silodosin in patients with recurrent falls",may cause orthostatic hypotension,"Alpha blockers for prostatic bladder outflow symptoms, other than silodosin in patients with recurrent falls (may cause orthostatic hypotension)."
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,11,Centrally acting antihypertensives,General/Unspecified,may impair sensorium and may cause orthostatic hypotension,Centrally acting antihypertensives (may impair sensorium and may cause orthostatic hypotension).
STOPP,Section K: Drug classes that predictably increase falls risk in susceptible older people.,12,Antimuscarinics,for treatment of overactive bladder or urge incontinence,may impair sensorium,Antimuscarinics for treatment of overactive bladder or urge incontinence (may impair sensorium).
STOPP,Section L: Analgesic Drugs,1,"Use of oral or transdermal strong opioids (morphine, oxycodone, fentanyl, buprenorphine, diamorphine, methadone, tramadol, pethidine, pentazocine) as first line therapy",for mild pain,WHO analgesic ladder not observed; paracetamol or NSAID not prescribed as first-line therapy,"Use of oral or transdermal strong opioids (morphine, oxycodone, fentanyl, buprenorphine, diamorphine, methadone, tramadol, pethidine, pentazocine) as first line therapy for mild pain (WHO analgesic ladder not observed; paracetamol or NSAID not prescribed as first-line therapy)."
STOPP,Section L: Analgesic Drugs,2,Use of daily regular (as distinct from PRN) opioids without concomitant laxative,General/Unspecified,risk of severe constipation,Use of daily regular (as distinct from PRN) opioids without concomitant laxative (risk of severe constipation).
STOPP,Section L: Analgesic Drugs,3,Long-acting opioids without short-acting opioids,for break-through moderate or severe pain,risk of persistence of severe pain,Long-acting opioids without short-acting opioids for break-through moderate or severe pain (risk of persistence of severe pain).
STOPP,Section L: Analgesic Drugs,4,Topical lidocaine (lignocaine) patch,for treatment of chronic osteoarthritis pain,lack of evidence of efficacy,Topical lidocaine (lignocaine) patch for treatment of chronic osteoarthritis pain (lack of evidence of efficacy).
STOPP,Section L: Analgesic Drugs,5,"Gabapentinoids (e.g., gabapentin, pregabalin)",for non-neuropathic pain,lack of evidence of efficacy,"Gabapentinoids (e.g., gabapentin, pregabalin) for non-neuropathic pain (lack of evidence of efficacy)."
STOPP,Section L: Analgesic Drugs,6,Paracetamol at doses ≥ 3 g/24 hours,"in patients with poor nutritional status i.e., BMI < 18 or chronic liver disease",risk of hepatotoxicity,"Paracetamol at doses ≥ 3 g/24 hours in patients with poor nutritional status i.e., BMI < 18 or chronic liver disease (risk of hepatotoxicity)."
STOPP,Section M: Antimuscarinic/Anticholinergic Drug Burden,1,Concomitant use of two or more drugs,"with antimuscarinic/anticholinergic properties (e.g., bladder antispasmodics, intestinal antispasmodics, tricyclic antidepressants, first generation antihistamines, antipsychotics)",risk of increased antimuscarinic/anticholinergic toxicity,"Concomitant use of two or more drugs with antimuscarinic/anticholinergic properties (e.g., bladder antispasmodics, intestinal antispasmodics, tricyclic antidepressants, first generation antihistamines, antipsychotics) (risk of increased antimuscarinic/anticholinergic toxicity). 10"
START,Section A: Indicated drugs.,1,Where a drug is clearly indicated and considered appropriate,"in the particular clinical context and there is no clear contraindication, that drug should be initiated as per formulary guidelines for dose and duration.",Omission of indicated therapy,"Where a drug is clearly indicated and considered appropriate in the particular clinical context and there is no clear contraindication, that drug should be initiated as per formulary guidelines for dose and duration."
START,Section B: Cardiovascular System,1,Antihypertensive therapy,"where systolic blood pressure > 140 mmHg and /or diastolic blood pressure > 90 mmHg, unless established moderate or severe physical frailty in whom the threshold for therapy is 150 mmHg systolic pressure and/or 90 mmHg diastolic pressure.",Omission of indicated therapy,"Antihypertensive therapy where systolic blood pressure > 140 mmHg and /or diastolic blood pressure > 90 mmHg, unless established moderate or severe physical frailty in whom the threshold for therapy is 150 mmHg systolic pressure and/or 90 mmHg diastolic pressure."
START,Section B: Cardiovascular System,2,Statin therapy,"with a documented history of coronary, cerebral or peripheral vascular disease, unless the patient’s status is end-of-life or established moderate or severe frailty.",Omission of indicated therapy,"Statin therapy with a documented history of coronary, cerebral or peripheral vascular disease, unless the patient’s status is end-of-life or established moderate or severe frailty."
START,Section B: Cardiovascular System,3,Angiotensin Converting Enzyme (ACE) inhibitor,with coronary artery disease.,Omission of indicated therapy,Angiotensin Converting Enzyme (ACE) inhibitor with coronary artery disease.
START,Section B: Cardiovascular System,4,Beta-blocker,with symptomatic coronary artery disease.,Omission of indicated therapy,Beta-blocker with symptomatic coronary artery disease.
START,Section B: Cardiovascular System,5,Angiotensin Converting Enzyme (ACE) inhibitor,for heart failure with reduced ejection fraction.,Omission of indicated therapy,Angiotensin Converting Enzyme (ACE) inhibitor for heart failure with reduced ejection fraction.
START,Section B: Cardiovascular System,6,"Cardio-selective beta-blocker (bisoprolol, nebivolol, metoprolol or carvedilol)",for stable heart failure with reduced ejection fraction.,Omission of indicated therapy,"Cardio-selective beta-blocker (bisoprolol, nebivolol, metoprolol or carvedilol) for stable heart failure with reduced ejection fraction."
START,Section B: Cardiovascular System,7,"Mineralocorticoid receptor antagonist (spironolactone, eplerenone)","in heart failure without severe renal function impairment i.e., eGFR > 30 ml/min/m2.",Omission of indicated therapy,"Mineralocorticoid receptor antagonist (spironolactone, eplerenone) in heart failure without severe renal function impairment i.e., eGFR > 30 ml/min/m2."
START,Section B: Cardiovascular System,8,"SGLT-2 inhibitors (canagliflozin, dapagliflozin, empagliflozin, ertugliflozin)",in symptomatic heart failure with or without reduced ejection fraction regardless of diabetes being present or not.,Omission of indicated therapy,"SGLT-2 inhibitors (canagliflozin, dapagliflozin, empagliflozin, ertugliflozin) in symptomatic heart failure with or without reduced ejection fraction regardless of diabetes being present or not."
START,Section B: Cardiovascular System,9,Sacubitril/valsartan,in heart failure with reduced ejection fraction causing persistent heart failure symptoms despite optimal dose of ACE inhibitor or Angiotensin Receptor Blocker (Sacubitril/valsartan to replace ACE inhibitor or Angiotensin Receptor Blocker).,Omission of indicated therapy,Sacubitril/valsartan in heart failure with reduced ejection fraction causing persistent heart failure symptoms despite optimal dose of ACE inhibitor or Angiotensin Receptor Blocker (Sacubitril/valsartan to replace ACE inhibitor or Angiotensin Receptor Blocker).
START,Section B: Cardiovascular System,10,Beta-blocker,for chronic atrial fibrillation with uncontrolled heart rate.,Omission of indicated therapy,Beta-blocker for chronic atrial fibrillation with uncontrolled heart rate.
START,Section B: Cardiovascular System,11,Intravenous iron,for symptomatic heart failure with reduced ejection fraction and iron deficiency. 11,Omission of indicated therapy,Intravenous iron for symptomatic heart failure with reduced ejection fraction and iron deficiency. 11
START,Section C: Coagulation System,1,Vitamin K antagonists or direct thrombin inhibitors or factor Xa inhibitors,in the presence of chronic or paroxysmal atrial fibrillation.,Omission of indicated therapy,Vitamin K antagonists or direct thrombin inhibitors or factor Xa inhibitors in the presence of chronic or paroxysmal atrial fibrillation.
START,Section C: Coagulation System,2,Antiplatelet therapy (aspirin or clopidogrel or prasugrel or ticagrelor),"with a documented history of coronary, cerebral or peripheral vascular disease.",Omission of indicated therapy,"Antiplatelet therapy (aspirin or clopidogrel or prasugrel or ticagrelor) with a documented history of coronary, cerebral or peripheral vascular disease."
START,Section D: Central Nervous System,1,L-DOPA or a dopamine agonist,in idiopathic Parkinson’s disease with functional impairment and resultant disability.,Omission of indicated therapy,L-DOPA or a dopamine agonist in idiopathic Parkinson’s disease with functional impairment and resultant disability.
START,Section D: Central Nervous System,2,Non-TCA antidepressant,for major depression.,Omission of indicated therapy,Non-TCA antidepressant for major depression.
START,Section D: Central Nervous System,3,"Acetylcholinesterase inhibitor (donepezil, rivastigmine, galantamine)",for mild-moderate Alzheimer’s dementia.,Omission of indicated therapy,"Acetylcholinesterase inhibitor (donepezil, rivastigmine, galantamine) for mild-moderate Alzheimer’s dementia."
START,Section D: Central Nervous System,4,Rivastigmine,for Dementia with Lewy Bodies or Parkinson’s disease dementia.,Omission of indicated therapy,Rivastigmine for Dementia with Lewy Bodies or Parkinson’s disease dementia.
START,Section D: Central Nervous System,5,Selective serotonin reuptake inhibitor (or SNRI or pregabalin if SSRI contraindicated),for persistent severe anxiety that affects independent functioning and quality of life.,Omission of indicated therapy,Selective serotonin reuptake inhibitor (or SNRI or pregabalin if SSRI contraindicated) for persistent severe anxiety that affects independent functioning and quality of life.
START,Section D: Central Nervous System,6,Dopamine agonist (ropinirole or pramipexole or rotigotine),"for Restless Legs Syndrome, once iron deficiency and severe chronic kidney disease (i.e., eGFR < 30 ml/min/m2) have been excluded.",Omission of indicated therapy,"Dopamine agonist (ropinirole or pramipexole or rotigotine) for Restless Legs Syndrome, once iron deficiency and severe chronic kidney disease (i.e., eGFR < 30 ml/min/m2) have been excluded."
START,Section D: Central Nervous System,7,Propranolol,for essential tremor with functional impairment and resultant disability.,Omission of indicated therapy,Propranolol for essential tremor with functional impairment and resultant disability.
START,Section E: Renal System,1,One-alpha hydroxycholecalciferol or calcitriol supplementation,"in severe chronic kidney (i.e., eGFR < 30 ml/min/m2) disease with hypocalcaemia (corrected serum calcium < 2.10 mmol/l) and associated secondary hyperparathyroidism.",Omission of indicated therapy,"One-alpha hydroxycholecalciferol or calcitriol supplementation in severe chronic kidney (i.e., eGFR < 30 ml/min/m2) disease with hypocalcaemia (corrected serum calcium < 2.10 mmol/l) and associated secondary hyperparathyroidism."
START,Section E: Renal System,2,Phosphate binder,"in severe chronic kidney disease (i.e., eGFR < 30 ml/min/m2) if serum phosphate concentration persistently >1.76 mmol/l (5.5 mg/dl) despite adherence to renal diet.",Omission of indicated therapy,"Phosphate binder in severe chronic kidney disease (i.e., eGFR < 30 ml/min/m2) if serum phosphate concentration persistently >1.76 mmol/l (5.5 mg/dl) despite adherence to renal diet."
START,Section E: Renal System,3,Erythopoietin analogue,"in severe chronic kidney disease (i.e., eGFR < 30 ml/min/m2) with symptomatic anaemia not attributable to haematinic or iron deficiency to achieve a haemoglobin concentration of 10.0 to 12.0 g/dl.",Omission of indicated therapy,"Erythopoietin analogue in severe chronic kidney disease (i.e., eGFR < 30 ml/min/m2) with symptomatic anaemia not attributable to haematinic or iron deficiency to achieve a haemoglobin concentration of 10.0 to 12.0 g/dl."
START,Section E: Renal System,4,Angiotensin receptor blocker (ARB) or Angiotensin Converting Enzyme Inhibitor (ACE-I),"in chronic kidney disease with proteinuria i.e., urine albumin excretion >300 mg/24 hours. 12",Omission of indicated therapy,"Angiotensin receptor blocker (ARB) or Angiotensin Converting Enzyme Inhibitor (ACE-I) in chronic kidney disease with proteinuria i.e., urine albumin excretion >300 mg/24 hours. 12"
START,Section F: Gastrointestinal System,1,Proton Pump Inhibitor,with severe gastro-oesophageal reflux disease or peptic oesophageal stricture requiring dilatation.,Omission of indicated therapy,Proton Pump Inhibitor with severe gastro-oesophageal reflux disease or peptic oesophageal stricture requiring dilatation.
START,Section F: Gastrointestinal System,2,Proton pump inhibitor,with initiation of low-dose aspirin and previous history of peptic ulcer or reflux oesophagitis.,Omission of indicated therapy,Proton pump inhibitor with initiation of low-dose aspirin and previous history of peptic ulcer or reflux oesophagitis.
START,Section F: Gastrointestinal System,3,Proton pump inhibitor,with short-term (< 2 weeks) or longer-term (> 2 weeks) NSAID.,Omission of indicated therapy,Proton pump inhibitor with short-term (< 2 weeks) or longer-term (> 2 weeks) NSAID.
START,Section F: Gastrointestinal System,4,"Fibre supplements (e.g., bran, ispaghula, methylcellulose, sterculia)",for diverticulosis with a history of constipation.,Omission of indicated therapy,"Fibre supplements (e.g., bran, ispaghula, methylcellulose, sterculia) for diverticulosis with a history of constipation."
START,Section F: Gastrointestinal System,5,"Osmotic laxative (e.g., lactulose, macrogol, sorbitol)",for chronic persistent idiopathic or secondary benign constipation.,Omission of indicated therapy,"Osmotic laxative (e.g., lactulose, macrogol, sorbitol) for chronic persistent idiopathic or secondary benign constipation."
START,Section F: Gastrointestinal System,6,Probiotics used,with antibiotics in patients who are not immunocompromised or severely debilitated for the prevention of Clostridioides difficile-associated diarrhoea.,Omission of indicated therapy,Probiotics used with antibiotics in patients who are not immunocompromised or severely debilitated for the prevention of Clostridioides difficile-associated diarrhoea.
START,Section F: Gastrointestinal System,7,Helicobacter pylori eradication therapy,in HP-associated active peptic ulcer disease.,Omission of indicated therapy,Helicobacter pylori eradication therapy in HP-associated active peptic ulcer disease.
START,Section G: Respiratory System,1,"Long-acting muscarinic antagonist (LAMA e.g., tiotropium, aclidinium, umeclidinium, glycopyrronium) or long-acting beta 2 agonist (LABA e.g., bambuterol, formoterol, indacaterol, olodaterol, salmeterol)",for symptomatic COPD of GOLD 1 or 2 severity and chronic asthma.,Omission of indicated therapy,"Long-acting muscarinic antagonist (LAMA e.g., tiotropium, aclidinium, umeclidinium, glycopyrronium) or long-acting beta 2 agonist (LABA e.g., bambuterol, formoterol, indacaterol, olodaterol, salmeterol) for symptomatic COPD of GOLD 1 or 2 severity and chronic asthma."
START,Section G: Respiratory System,2,"Regular i.e. daily inhaled corticosteroid (e.g., beclomethasone, budesonide, ciclesonide, fluticasone, mometasone)","for moderate-severe asthma or COPD of GOLD 3 or 4 severity, where FEV1 <50% of predicted value and repeated exacerbations requiring treatment with oral corticosteroids.",Omission of indicated therapy,"Regular i.e. daily inhaled corticosteroid (e.g., beclomethasone, budesonide, ciclesonide, fluticasone, mometasone) for moderate-severe asthma or COPD of GOLD 3 or 4 severity, where FEV1 <50% of predicted value and repeated exacerbations requiring treatment with oral corticosteroids."
START,Section G: Respiratory System,3,Home continuous oxygen,"with documented chronic hypoxaemia (i.e., pO2 < 8.0 kPa or 60 mmHg or SaO2 < 89%).",Omission of indicated therapy,"Home continuous oxygen with documented chronic hypoxaemia (i.e., pO2 < 8.0 kPa or 60 mmHg or SaO2 < 89%)."
START,Section H: Musculoskeletal System,1,Disease-modifying anti-rheumatic drug (DMARD),"with chronic, active and disabling rheumatoid arthritis.",Omission of indicated therapy,"Disease-modifying anti-rheumatic drug (DMARD) with chronic, active and disabling rheumatoid arthritis."
START,Section H: Musculoskeletal System,2,Bisphosphonates and vitamin D and calcium,in patients taking long-term systemic corticosteroid therapy for prevention of steroid-induced osteoporosis.,Omission of indicated therapy,Bisphosphonates and vitamin D and calcium in patients taking long-term systemic corticosteroid therapy for prevention of steroid-induced osteoporosis.
